Question,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 1 Trait,Option 2 Trait,Option 3 Trait,Option 4 Trait,Option 5 Trait,Option 6 Trait
"The officer has just finished handling an assault call near the end of their [time_of_day] shift. They are very tired, and writing a detailed report now will extend their work past shift end. No one specifically needs the report until later, making it tempting to postpone the paperwork until the next day. However, department policy says all incident reports should be completed before going off duty. The officer must decide whether to finish the documentation now or delay it.","The officer dutifully completes the report immediately, staying late if necessary, to ensure an accurate and timely account of the incident. They don’t seek to cut corners or expect special treatment for being tired, viewing the thorough report as part of their responsibility.","Feeling exhausted and worried about making errors due to fatigue, the officer decides to leave the report for the next morning. They plan to arrive early to finish it, though they feel a bit guilty and anxious about not completing it right away.","The officer confidently explains the situation to a supervisor, proposing to file a brief preliminary report now and finish the detailed report first thing next shift. They communicate openly, ensuring the key information is passed on, and use their energy to promise a thorough follow-up after a short rest.","The officer chooses to complete the report now because they don’t want to inconvenience anyone waiting on it. Despite their fatigue, they put the needs of the department first, reasoning that it’s more considerate to provide the information promptly so others, like investigators or the victim, aren’t adversely affected.","The officer methodically writes the full report before ending the shift, double-checking details for accuracy despite the late hour. They adhere to the rule that paperwork must be done promptly and take pride in finishing the task on time and to the required standard, even if it means personal inconvenience.","The officer looks for a creative solution to speed up the process. They recall that their department-issued tablet has a voice dictation feature, so they use it to quickly narrate the report’s details. By embracing this innovative tool, they manage to complete the report now with minimal delay, maintaining both accuracy and efficiency.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During a [time_of_day] shift, the officer responds to an alarm at a closed store. Arriving first on scene, they find a door pried open, suggesting the [suspect1_age]-year-old [suspect1_gender] [suspect1_race] suspect may still be inside. Protocol dictates waiting for backup to safely clear the building, but the officer knows backup is several minutes away and worries the suspect could escape if they wait. The officer faces a decision between following procedure and immediately entering alone to try to catch the suspect.","The officer resists the urge to act impulsively and waits for backup, securing the perimeter and monitoring for any suspect movements. By following protocol, they prioritize safety and avoid unnecessary risks.","Overcome by stress, the officer calls for more backup and waits cautiously, feeling anxious but reluctant to act alone due to the risk of getting hurt. Their fear of making things worse prevents them from entering the building without support.","Confident in their abilities, the officer enters the building, loudly announcing their presence in hopes of surprising and catching the suspect. Their bold, proactive approach reflects their sense of urgency and self-assurance.","The officer waits for backup, calmly communicating with dispatch and using the PA system to encourage the suspect to surrender. They prioritize cooperation and coordination to peacefully resolve the situation.","Following procedure, the officer sets up a perimeter and ensures backup is en route, not entering alone. Their disciplined approach ensures the safety of the operation by adhering to established safety protocols.","The officer thinks beyond the binary choice of waiting or rushing in, instead exploring alternative strategies. They reposition the patrol car to shine headlights on the entrance and use the loudspeaker to apply psychological pressure, potentially prompting the suspect to reveal themselves to balance safety with effectiveness while awaiting backup.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"The officer arrests a [suspect1_age]-year-old [suspect1_gender] [suspect1_race] suspect for narcotics distribution during the [time_of_day]. They seize several small bags of drugs as evidence. Proper procedure requires each bag to be weighed, documented, and secured with meticulous labeling, which is time-consuming. A fellow officer on scene suggests simply estimating the weight and quickly logging all the bags together to save time, assuring that “it’s close enough.” The officer knows precise documentation is critical for court, but following every step will significantly extend their overtime. They must decide how to handle the evidence logging.","The officer refuses to compromise on accuracy and follows the procedure to weigh and document each bag of narcotics carefully. They prioritize integrity and the thoroughness of the report, understanding that precise documentation is vital for the case.","Driven by anxiety over potential legal issues, the officer insists on meticulously following the procedure despite the overtime. Their fear of mishandling evidence and facing consequences in court makes them opt for a careful and exact approach.","Taking charge, the officer organizes a team effort to weigh and document the evidence efficiently, without cutting any corners. Their energetic approach ensures all steps are followed while saving time through teamwork and clear communication.","To avoid conflict, the officer accepts the additional workload and completes the evidence logging themselves, ensuring everything is done properly. They prioritize harmony with their colleague while still adhering to the correct procedures.","The officer rigorously follows each step, carefully weighing and labeling the narcotics and double-checking all forms for accuracy. Their disciplined, methodical approach ensures that all documentation is precise, no matter how much extra time it takes.","The officer uses technology creatively by taking quick photos of the evidence bags alongside the scale to document the weight, saving time without sacrificing accuracy. This innovative approach allows them to handle the process more efficiently while ensuring proper documentation.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"At [time_of_day], while backing out of a driveway after a welfare check call, the officer accidentally hits a mailbox, causing a small dent in the patrol car and knocking the mailbox to the ground. No one witnesses the incident, and the homeowner hasn’t noticed. Department policy requires reporting any damage to department property or civilian property, but reporting this minor accident will involve paperwork and possibly a reprimand for inattention. The officer contemplates whether to report the incident formally or quietly leave since the damage is minor and could be fixed without anyone knowing.","The officer immediately reports the accident to their supervisor and attempts to notify the homeowner, taking full responsibility for the damage. They prioritize honesty and accountability, accepting any consequences that may follow.","Anxious about potential repercussions, the officer considers not reporting the incident but ultimately calls it in, explaining the situation nervously. They feel relief after confessing, despite worrying about possible consequences.","The officer proactively contacts the homeowner to apologize and offer assistance in repairing the mailbox, while also reporting the incident to their supervisor. Their open, personable approach fosters trust and shows they take responsibility for their actions.","Concerned about the homeowner’s inconvenience, the officer apologizes and offers to handle the repairs personally while ensuring the incident is reported to the department. They prioritize resolution and fairness for the homeowner over avoiding extra paperwork.","The officer strictly follows procedure, immediately reporting the damage, documenting the incident, and ensuring temporary measures are taken. They handle the situation methodically, treating the minor accident with the seriousness it deserves.","The officer fixes the mailbox as best as they can, planning to return later to handle repairs in a more personal manner, while still reporting the vehicle damage. They approach the situation creatively, ensuring accountability while addressing the damage in a neighborly way.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"Midway through the month, the precinct set an informal goal for each officer to issue a certain number of traffic citations to improve road safety statistics. With the month almost over, the officer is a few tickets short of the target, but it’s a quiet day with no obvious violations happening. The officer contemplates how to meet the quota: they could strictly enforce very minor infractions that they might usually let slide to hit their numbers, or they could accept falling short of the goal since no significant offenses are observed. The decision could affect the team’s statistics but also tests the officer’s commitment to fair enforcement.","The officer chooses not to issue tickets for minor infractions just to meet the quota, sticking to enforcing serious violations. They prioritize fairness and transparency, accepting the possibility of falling short without inflating numbers.","Feeling anxious about the quota, the officer issues a few tickets for minor violations they would normally overlook, hoping to meet the target. Their stress about disappointing supervisors drives them to act against their usual level of leniency.","The officer energetically tackles the goal by organizing a traffic checkpoint or focusing on known problem areas with colleagues. Through proactive teamwork and effort, they meet the target by catching legitimate violations.","Wanting to support the team without being too harsh, the officer issues citations for minor violations they would typically give warnings for. They ensure each ticket is for a real infraction, balancing fairness and meeting the department's goals.","The officer strategically targets high-violation areas like school zones, managing their patrol time effectively to catch legitimate offenders. Their disciplined approach helps them meet the citation quota through careful planning and diligent enforcement.","The officer broadens their focus, enforcing less obvious violations like expired registrations or parking issues to meet the quota. This unconventional approach still adheres to the law while ensuring the target is reached through creative enforcement.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During the [time_of_day], the officer arrives at the scene of a heated domestic disturbance involving two [suspect1_age]-year-old [suspect1_gender] [suspect1_race] adults. As the officer approaches the residence, they realize their body-worn camera’s battery died moments ago. Department rules require officers to record all domestic encounters for transparency. Waiting to replace the battery would delay intervention in a potentially violent situation, but proceeding without recording violates policy. The officer must choose whether to intervene immediately to protect those involved, or pause briefly to retrieve a spare battery from the patrol car, balancing immediate safety with adherence to the recording rule.","The officer notifies dispatch of the camera issue and enters to address the situation immediately. They plan to document the reason for the missing footage afterward, prioritizing safety and transparency.","Overcome by concern for safety and policy, the officer retrieves a spare battery and powers up the camera before intervening. Their anxiety about the potential consequences drives them to ensure the camera is recording before taking action.","Confident and assertive, the officer enters the residence immediately without the camera, focusing on de-escalating the conflict. They are prepared to explain the lack of footage later, prioritizing immediate intervention.","The officer intervenes right away to prevent harm, despite the camera not recording, and uses verbal commands to de-escalate. They plan to apologize later, trusting their intentions will be understood given the urgency of the situation.","The officer quickly swaps the dead battery with a spare they carry, ensuring the camera is operational before entering the residence. Their preparedness allows them to adhere to policy while addressing the situation with minimal delay.",The officer uses the patrol car’s dash camera or their phone as a workaround to record the situation while quickly intervening. This creative solution allows them to uphold the recording policy while prioritizing immediate safety.,Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"Late into their [time_of_day] shift, the officer is in a neighborhood helping search for a missing [suspect1_age]-year-old [suspect1_gender] [suspect1_race] child. As the shift is ending, the child has not yet been found, and a fresh team of officers is arriving to take over the search effort. The officer is exhausted and technically allowed to clock out, but they feel invested in the outcome and also know the area and the case details well. The officer must decide whether to remain on duty without being asked to continue assisting in the search, or to hand over all information to the new team and get some rest.","The officer voluntarily stays after their shift to continue the search, prioritizing the child’s safety over personal rest. They remain committed to the mission without seeking recognition, focused on ensuring the child’s safe return.","Driven by worry and empathy for the missing child, the officer chooses to stay on duty, unable to leave until the situation is resolved. Their anxiety compels them to keep searching, as they feel they won’t be able to rest otherwise.","The officer stays on and takes a leadership role, organizing the search and rallying other officers and volunteers. Their energy and enthusiasm help maintain focus and morale, ensuring the search continues effectively.","The officer remains available to assist the new team, providing a thorough handover and quietly supporting the effort, such as comforting the family or running errands. They demonstrate teamwork and concern for the team’s success without drawing attention to themselves.","The officer ensures a smooth transition by handing over all details and then decides to stay a little longer, revisiting critical spots to ensure nothing is missed. Their thoroughness and sense of duty drive them to make sure the search continues with as much information as possible.","The officer brings fresh ideas to the search, suggesting unconventional places to check based on their knowledge of the area. Their creative thinking and refusal to give up until every angle is explored help contribute new insights to the search effort.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"In the late [time_of_day], the officer and their partner respond to a call about a suspicious person in a residential area. They encounter a [suspect1_age]-year-old [suspect1_gender] [suspect1_race] individual who turns out to be a lost delivery worker trying to find an address. No crime has occurred. According to department guidelines, the officers should still document the stop, including the person’s identification and the circumstances, for future reference. The partner rolls their eyes and says it’s unnecessary paperwork for an innocent situation, suggesting they clear the call without filing any report. The officer must decide whether to insist on documenting the encounter per policy or agree with their partner to skip the paperwork to save time.","The officer insists on documenting the stop as required, ensuring the delivery worker’s details and the circumstances are logged. They prioritize transparency and adherence to policy, understanding the importance of thorough record-keeping even in non-criminal situations.","The officer, feeling uneasy but not wanting to argue, reluctantly agrees to skip the paperwork. They leave the scene with lingering concern about not following the guideline but choose to compromise for the sake of peace with their partner.","The officer cheerfully explains to the delivery worker that they need to take down some quick information and handles the paperwork efficiently. Their friendly, upbeat attitude helps meet the documentation requirement without further resistance from their partner.","The officer decides to handle the paperwork alone, letting their partner off the hook. They politely gather the necessary details from the delivery worker and complete the report themselves, ensuring documentation without creating conflict.","The officer strictly follows the guidelines, documenting the encounter thoroughly even if it adds extra work. They understand the importance of accurate records and ensure compliance with procedure, no matter how minor the situation.","The officer proposes a creative solution, like using dispatch or a mobile field contact form, to log the details quickly. They find a way to document the stop efficiently while addressing the concern of saving time.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"Near the end of the shift, two calls come in almost simultaneously in the officer’s sector. One is a report of a shoplifting incident at a store where a security guard has a [suspect1_age]-year-old [suspect1_gender] [suspect1_race] suspect detained for petty theft. The other is a frantic call about a possible domestic disturbance between a [suspect2_age]-year-old [suspect2_gender] [suspect2_race] and [suspect3_age]-year-old [suspect3_gender] [suspect3_race] persons involving a lot of yelling a few blocks away. The officer is the closest unit to both, and backup is a few minutes out. They must choose which call to prioritize responding to first: the shoplifting which is a non-violent incident under control, but the store is awaiting police, or the domestic dispute, which is potentially violent and time-sensitive. The officer also must find a way to manage the call they can’t get to immediately.","The officer prioritizes the domestic disturbance, knowing it involves potential harm to people, and notifies dispatch of the delay at the store. They focus on addressing the immediate threat to safety, planning to handle the shoplifting once the situation is under control.","Overwhelmed by stress, the officer heads to the domestic call, urgently seeking backup and apologizing to the store security guard for the delay. Their anxiety about the shoplifting incident causes them to check frequently for updates, only feeling relieved once another officer is on the way.","The officer coordinates both calls, sending another unit to the store while heading to the domestic scene. They ensure clear communication with dispatch and the security guard, handling the situation confidently and ensuring both calls are addressed effectively.","The officer prioritizes the domestic disturbance, informing dispatch and the store about the delay in a considerate manner. They focus on resolving the critical situation first while keeping the store informed and maintaining a friendly rapport with all involved.","The officer prioritizes the domestic dispute based on severity, requesting backup for the shoplifting and focusing on handling the immediate danger. They adhere to protocol, remaining focused and disciplined in managing both calls according to their urgency.",The officer stops briefly at the store to confirm the shoplifting situation is under control before heading to the domestic call. This creative approach ensures the store is managed while still prioritizing the more urgent domestic disturbance.,Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During a busy [time_of_day] shift, the officer is first to arrive at a multi-vehicle accident scene on a main road. Several vehicles are involved, and a few people have minor injuries. Traffic is starting to back up, and onlookers are gathering. The officer realizes multiple tasks need attention all at once: checking injuries and calling for EMS, moving or marking the wrecked vehicles and debris to prevent another crash, and calming drivers or witnesses who are agitated. Backup officers and EMS are on the way but have not arrived yet. The officer must determine what to take care of first and possibly delegate help from bystanders, effectively managing the scene until additional help can join.","The officer prioritizes checking for serious injuries, calling for EMS, and asking bystanders to help with traffic control. They focus on ensuring safety and remain modest, coordinating efforts without seeking credit.","The officer feels overwhelmed and anxious, focusing on comforting the injured and checking for critical conditions. They rely on backup to handle traffic and feel relieved once help arrives to manage the situation.","The officer takes charge, directing traffic with clear signals and checking on the injured, projecting confidence. Their high energy helps them manage multiple tasks effectively until additional units and EMS arrive.","The officer calmly checks on each person and asks a stable driver to help with traffic control. They maintain a caring, patient demeanor, ensuring the situation remains calm while coordinating with bystanders.","The officer systematically secures the scene with lights, flares, and immediate injury assessment. They follow proper protocol, organizing the scene and gathering information for reports, ensuring everything is ready when backup arrives.","The officer creatively addresses hazards, and uses their smartphone to document the scene. They tackle safety and preservation issues proactively, thinking of solutions others might overlook.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
