Question,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 1 Trait,Option 2 Trait,Option 3 Trait,Option 4 Trait,Option 5 Trait,Option 6 Trait
"You’ve just finished handling an assault call near the end of your [time_of_day] shift. You’re very tired, and writing a detailed report now will push your work past the end of shift. No one specifically needs the report until later. You must decide whether to finish the documentation now or later.","You dutifully complete the report right away because it is the most fair thing to do in the current situation. Even if this means staying late to ensure an accurate, honest, and timely account of the incident. You don’t cut corners or expect special treatment for being tired, seeing the thorough report as part of your responsibility. You are reminded of the honor it is to serve in law-enforcement. ","You’re exhausted and worried you might make mistakes because of fatigue, so you decide to leave the report for the next morning. Between shifts you consistently think about finishing the report and you worry that you will not remember important details. You plan to arrive early to finish it. All the while you are worried that your supervisor will reprimand you. You have even shared this experience with a trusted friend to assure yourself that what you are doing is OK. This, however, does not reduce your anxiety about not completing it right away.","You realize that although your shift ends soon, if you act quickly, you can finish the report; however, you spend some time thinking about this before you start. You know your supervisor might be upset with a report done hastily, but believe it is the best thing to do because even if the supervisor is upset, it will at least give you time to meet with her. ","You choose to complete the report now because you don’t want to inconvenience anyone waiting on it. Despite your fatigue, you put the needs of the department first, reasoning that it’s more considerate to provide the information promptly so others, like investigators or the victim, aren’t adversely affected.","You want to methodically write the full report before ending your shift, double-checking details for accuracy, despite the late hour because that represents the kind of work you consistently do. You like adhering to the rule that paperwork must be done promptly and take pride in finishing the task on time and to the required standard.","You seek a creative solution because there might be one and trying new things has worked well for you before. You suddenly realise that your department-issued tablet has a voice dictation feature, you use it to quickly narrate the report’s details and include the novelty of the situation. ",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During your [time_of_day] shift, you respond to an alarm at a closed store. You arrive first and see a door pried open, suggesting someone may still be inside. Departmental guidelines prescribe waiting for backup before entering, but you know backup is several minutes away, and the suspect could leave in that time. You must decide how to handle the situation.","You decide not to act alone, holding the perimeter until backup arrives. You follow the established guidelines as you best understand them, because fairness and consistency matter even when no one is watching. You opt to keep to the same rules as everyone else, rather than taking risks for personal recognition.","You consider entering on your own, but are concerned about potential danger and the chance of making a mistake under pressure. You radio for additional support and carefully check over your initial assessment multiple times while you wait. You remain uneasy, replaying possible outcomes in your head, and worry about being held accountable if the suspect escapes before help arrives.","You decide to act by moving closer to the entrance, raising your voice to announce your presence, and scanning for movement. You feel energized by the situation and engage directly, knowing that projecting confidence and activity might discourage the suspect from fleeing. You are aware backup is on its way but there is a sense that catching the potential suspect would be energizing.","You focus on communication, updating dispatch with detailed observations and using your public address system to urge the potential suspect to cooperate peacefully. You recognize that might be an explanation for the behavior of the suspect and are willing to hear his side of the story. You prioritize coordination and the hope of resolving the incident without conflict. You engage in actions that reduce the potential for disharmony.","You maintain the required procedure by setting up a secure perimeter and confirming backup’s estimated arrival. You methodically check that your patrol car and equipment are positioned properly, making sure no detail is overlooked. Even though the delay could allow the suspect to escape, you remain committed to carrying out the protocol as written, valuing thoroughness and consistency over improvisation.",You consider alternative approaches beyond simply waiting or entering. You reposition your patrol vehicle to cast more light on the entrance and broadcast over the loudspeaker to create pressure and you are glad to have come-up with this idea. You look for ways to draw the suspect out or observe their behavior while still minimizing direct risk. The situation prompts you to experiment with creative tactics as you await backup.,Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"You arrest a [suspect1_age]-year-old [suspect1_gender] [suspect1_race] suspect for narcotics distribution during the [time_of_day]. Several small bags of drugs are seized as evidence. Standard procedure requires weighing, labeling, and documenting each bag individually, a process that takes considerable time. Another officer suggests estimating the total weight and recording it quickly, saying this will save time and is “close enough.” You must decide how to handle the evidence logging.","Your tendency is to weigh and accurately document each bag separately. You internalize it as your responsibility to provide a precise and honest record, without expecting leniency because of time pressure. You believe accuracy reflects fairness to both the case and the community.","Concerned about making a mistake that could affect the case, you carefully follow the full procedure. You check each step multiple times, worried that even a small error could create problems in court or result in disciplinary action. The thought of leaving the work incomplete causes ongoing worry, and you ask a trusted colleague to reassure you that you handled the process correctly.","You quickly gather the team on scene and suggest dividing the tasks so that everyone can work together. You talk through the process out loud, keeping the group focused and motivated. Though being energetic and directive will mostly likely lead to you being seen as a leader, you like the way it makes you feel and hope it will model a team approach process in the future.","Wanting to avoid conflict, you decide to handle the detailed evidence logging yourself rather than challenge your colleague directly. By quietly taking on the extra work, you keep the process accurate while maintaining harmony with your fellow officer, ensuring the case is not compromised without creating friction in the team.","You proceed step by step, weighing, labeling, and documenting each bag in strict accordance with policy. Consistency and completeness are important to you to ensure the final report meets all requirements. Even though this extends your time on scene, you feel it’s important to complete the task thoroughly and correctly, as you always do.","You decide to use a creative method to speed up the process while keeping it accurate. For example, you photograph each bag on the scale with the weight clearly visible, attaching the images to the case file along with your written documentation. This innovative approach allows you to save time while still maintaining the integrity of the evidence record.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"At [time_of_day], while backing out of a driveway after a welfare check, your patrol car lightly strikes a mailbox. The mailbox is knocked over, and your vehicle has a small dent. No one sees the accident, and the homeowner has not noticed. Department policy requires reporting all damage to department and civilian property, though doing so will involve paperwork and may lead to a reprimand. You must decide how to respond.","You immediately report the damage to your supervisor and attempt to notify the homeowner, making sure they are aware of what happened. You do not minimize your role in the accident or hope that no one finds out. You accept the consequences because you believe it would be unfair to conceal the incident. You remind yourself that integrity and humility are part of serving the public, and you would not want to be treated differently than anyone else in this situation.","You worry about what might happen if you do not report the accident, and the thought of hiding it makes you anxious. You decide to call it in, though you second-guess yourself and rehearse what you’ll say before contacting your supervisor. Even after reporting, you continue to feel uneasy, concerned about whether you’ll face criticism or if this could signal the end of your career. You later check in with a colleague or friend to talk it through, though this doesn’t completely relieve your stress.","You choose to engage with those around you and knock on the homeowner’s door to explain what happened, using the interaction to build trust through direct conversation. You also contact your supervisor right away, knowing that addressing the situation openly keeps lines of communication clear.","You think about how the mailbox’s owner might be affected and do not want them to feel disregarded. You apologize promptly and assure the homeowner that the damage will be taken care of, while also ensuring the matter is reported according to policy. You are more concerned about inconveniencing someone else than the effect on yourself.","You carefully follow the established rules, beginning with an immediate report to your supervisor. You document the details in writing, making sure your report is clear and accurate. You arrange for the mailbox to be addressed through proper channels and confirm that the patrol car damage is recorded. You take the incident seriously despite its minor scale, treating it with the same diligence you apply to larger matters.","You wonder how the home-owner will respond and think of the many ways you could respond. It seems like there must be many ways to solve this problem. You also come-up with many ideas about how you will explain this situation to your supervisor. Later, you plan to incorporate this into the official report. You also think about how creative solutions like these can make handling routine incidents more efficient, even while ensuring accountability.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"Your precinct has encouraged officers to issue a certain number of traffic citations to improve road safety statistics. With the month nearly over, you are a few citations short of the target, but today is quiet and you haven’t observed serious violations. You must decide how to proceed in light of the quota and the absence of major offenses.","You decide not to issue tickets for very minor infractions simply to meet the quota. You believe it would be unfair and insincere to inflate numbers. You accept that your total will be lower, reasoning that truthful reporting and impartial enforcement matter more than personal recognition. You view this as part of carrying out your role with humility and integrity, without seeking credit through questionable means.","You feel uneasy about missing the target, worrying that supervisors may view you negatively. To calm your concern, you double-check your notes and patrol logs, looking for any overlooked violations you could cite. Even after issuing a few minor tickets, you remain anxious that it won’t be enough. You replay the situation in your mind and consider asking a colleague if you handled it the right way.","You decide to take a more energetic approach by teaming up with colleagues to set up a brief checkpoint at a busy intersection. Working with others keeps you engaged, and you find yourself encouraged by the interaction. The added police presence identifies drivers making clear violations, and the group effort helps you move closer to the target.","You choose to write tickets for minor but legitimate infractions, such as rolling stops, because you don’t want your shortfall to inconvenience the team. You aim to support the department’s collective statistics without being excessively strict. You balance consideration for drivers with consideration for your colleagues, reasoning that it is more cooperative to contribute than to let the group take on the deficit.","You develop a systematic plan to patrol areas where violations are more likely, such as school zones and intersections with past complaints. You carefully manage your time and monitor traffic closely, ensuring that any citations are fully justified. By sticking to established rules and maintaining diligence, you work toward meeting the quota without sacrificing accuracy.","You decide to broaden your perspective, checking for less obvious violations such as expired registrations or overlooked parking issues. You use your initiative to apply the law in ways not usually part of your daily routine. This creative strategy helps you find legitimate tickets while keeping the approach fresh and different from your usual methods.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During the [time_of_day], you respond to a domestic disturbance involving two [suspect1_age]-year-old [suspect1_gender] [suspect1_race] adults. As you approach the residence, you realize your body-worn camera’s battery has died. Departmental guidelines prescribe all domestic encounters to be recorded. Retrieving a spare battery from your patrol car would delay intervention. You must decide how to respond.","You recognize that the battery failure is a result of not checking your equipment earlier, and you accept responsibility for that oversight. You decide to enter, but make a mental note to document why the footage is missing and acknowledge your error. You view admitting to your mistake as part of being fair and transparent. ","You hesitate, concerned about both the safety risks and the consequences of violating guidelines. You decide to return to your car, replace the battery, and power on the camera before acting all the time worried someone will get hurt.. Throughout this, you double-check that the device is recording and imagine possible reprimands if it were not. You are reassured by following the rule, though you remain uneasy until the situation is under control. You are nervous about not having fresh batteries in your camera.","You step inside immediately, without the camera, engaging the parties in direct conversation to gain control of the scene. You use assertive verbal commands, confident that your presence and energy will calm the conflict. You recognize that the missing footage may need to be explained later but see immediate contact and interaction as the best way to stabilize the situation.","You choose to intervene at once, despite the lack of recording, because you don’t want to risk further conflict for those involved. You focus on de-escalating with cooperative language and calming tones, showing consideration for everyone present. Later, you plan to explain and apologize for the lapse, trusting others to recognize that your goal was to reduce harm for all parties.","You quickly retrieve a spare battery, replace it, and make sure the camera is working before entering. You value doing the task according to procedure, so taking a short pause to ensure compliance feels necessary. You take pride in being organized and reliable, seeing careful adherence to policy as part of your consistent work standard.","You think of alternatives and decide to activate your patrol car’s dash camera from a distance or use a phone as a temporary recording device while moving to intervene. Though unconventional, you see this as a practical workaround that allows you to balance the competing demands of safety and policy.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"Late into your [time_of_day] shift, you’re in a neighborhood helping search for a missing [suspect1_age]-year-old [suspect1_gender] [suspect1_race] child. As your shift ends, the child has not yet been found, and a new team of officers arrives to take over the search effort. You’re exhausted and technically allowed to clock out, but you know the area and the case details well. You must decide what to do.","You choose to stay after your shift ends, not for recognition but because you believe it is the fair and responsible action. You provide your knowledge of the area and case to support the search, viewing your contribution as part of a shared duty rather than a personal achievement. You regard yourself as no more important than anyone else on the team, and don’t expect credit for the extra time.","You are uneasy about leaving before the child is found and worry that something crucial might be overlooked. Even though you are fatigued, your anxiety compels you to keep searching, and you replay potential outcomes in your head. You decide you won’t be able to rest or let go of the concern unless you remain involved. To reassure yourself, you double-check details you’ve already passed on and consider reaching out for emotional support afterward.","You take on a visible in-charge role in guiding the search effort. You speak up, coordinate assignments, and keep energy levels high among officers and volunteers. Your enthusiasm makes you more connected to the group, and you draw confidence from being actively engaged and at the center of the effort. Clocking out and leaving seems boring and unexciting to you.","
You will let the incoming officers decide if you stay because you want to facilitate their best efforts.You focus on supporting the incoming team by giving a clear and considerate handover. You also make yourself available to help with small but important tasks such as talking with worried family members or helping distribute resources because you want to reduce strain on others.","Before clocking out, you carefully organize the information you’ve gathered so that nothing is overlooked. You review notes for thoroughness, check key search areas, and stay a little longer to verify that critical spots are covered. Your diligence is driven by the belief that accuracy, order, and responsibility matter.","You continue contributing by suggesting alternative ways to expand the search, such as considering less obvious locations based on your familiarity with the neighborhood. You think creatively about patterns or overlooked areas, offering new perspectives that could complement the standard approach. You remain open to ideas that might seem unconventional but could lead to useful insights.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"In the late [time of day], you and your partner respond to a call about a suspicious person in a residential area. You encounter a [suspect1_age]-year-old [suspect1_gender] [suspect1_race] individual who turns out to be a lost delivery worker trying to find an address. No crime has occurred. According to department guidelines, you should still document the stop, including the person’s identification and the circumstances, for future reference. Your partner rolls their eyes and says it’s unnecessary paperwork for an innocent situation, suggesting you clear the call without filing any report. You must decide what to do.","You explain that documenting the stop is most straightforward thing to do. It is important to complete the report because that is in-part what you are paid to do. You emphasize fairness and transparency, believing that proper records matter for both the individual and the department. You do not see yourself as entitled to skip steps just because the situation seems minor, and you avoid any shortcut that could be seen as dishonest.","You hesitate, are uneasy about ignoring the guideline. You worry that skipping the report could create problems later, and the thought lingers with you even after leaving the scene. Although you eventually succumb to your partner’s desire to move on, you continue replaying the decision in your head, second-guessing whether you should have insisted on following the rule and fearing it might reflect poorly on you.","You energetically take the lead, telling the delivery worker that you just need a little information to wrap things up. You confidently manage the interaction in a positive, upbeat way, which you notice makes your partner smile and also join the conversation with the delivery driver.","You choose to complete the paperwork yourself, sparing your partner from might be seen as an unnecessary task. You explain to your partner the reasons the paperwork is necessary until your partner agrees with you. You politely gather the details and file the report, prioritizing cooperation and avoiding conflict with the delivery driver and your partner. You ensure the guideline is met while preserving harmony with your partner.","You carefully document the encounter, in full, making sure the details are accurate and thorough. You see value in following established procedures, even for routine calls, because complete and reliable records contribute to the department’s consistency. You are deliberate and precise in your actions, despite the added time and effort.","You suggest using an alternative method, such as entering the details through a mobile reporting feature or asking dispatch to assist with the log. You enjoy finding novel solutions to routine problems and comply with the guideline. You also ask your partner if there are any additional ways the problem might be solved.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"Near the end of your shift, two calls come in simultaneously in your sector. One is a report of shoplifting at a store, where a security guard has a [suspect1_age]-year-old [suspect1_gender] [suspect1_race] suspect detained for petty theft. The other is a call about a possible domestic disturbance between a [age]-year-old [gender] [race] and a [age]-year-old [gender] [race] with loud yelling reported. You are the closest unit to both, and backup is a few minutes away. You must decide how to prioritize the more urgent domestic violence call while managing the one to which you cannot immediately attend.","You contact dispatch to explain the delay at the store and ensure that the security guard understands help will arrive soon. You take the extra step to ensure transparency with the shop owner because you see yourself as no more entitled than anyone else to cut corners. You accept that fairness means addressing the greater risk first, even if it means others must wait.","You quickly head to the domestic call but experience heightened stress about the unresolved shoplifting case. You radio dispatch for urgent backup, apologizing to the store security guard for the delay. Throughout, you repeatedly check for updates on the shoplifting situation and imagine worst-case scenarios until another officer is officially assigned, only feeling some relief once backup arrives at the store.","You take charge by confidently coordinating with dispatch. You notify the store security guard directly, offering reassurance, and head toward the domestic scene. You are energized by the responsibility and comfortable engaging with multiple parties at once, projecting assurance that both incidents will be managed without issue.","You make sure to inform dispatch and the store in a respectful, considerate manner. You frame your communication in a way that reduces tension for all parties, showing patience and cooperation. Your focus is on the more urgent situation while maintaining trust and goodwill with those waiting at the store.","You carefully follow procedure by requesting backup for the shoplifting call and documenting your reasoning for the order of response. You stay disciplined and structured in handling the immediate danger, ensuring both incidents are addressed in line with protocol and professional standards.","You consider whether shop cameras could help monitor the shoplifting suspect while you head to the domestic call. By using available resources in an unconventional way, you aim to keep both incidents managed, showing a willingness to explore different possibilities rather than relying only on routine steps. Throughout, you consider all the possible ways a solution could play out.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During a busy [time of day] shift, you are the first to arrive at a multi-vehicle accident on a main road. Several vehicles are involved, with minor injuries reported. Traffic is backing up and onlookers are present. Multiple tasks require attention at once, including checking injuries and contacting emergency medical services (EMS), moving and marking the wreckage to prevent further accidents, and managing the crowd. Backup officers and EMS are on the way but have not yet arrived. You must decide how to act first and how to involve bystanders while maintaining control of the scene.","You recognize your limited but capable capacities to engage in action with the resources you have. As you check on the injured and call EMS,you ask bystanders to assist with directing traffic or moving safely away from the roadway. You coordinate efforts in a straightforward and modest manner, ensuring fairness in how responsibilities are shared. You avoid seeking recognition, focusing instead on what is best for those at the scene and for public safety.","You quickly begin checking the injured, repeatedly confirming their condition while radioing for EMS. You continue reviewing the situation, worried you might overlook a hazard. You seek reassurance from arriving units and feel more at ease once additional personnel are on scene to help manage the responsibilities. Until then, you remain preoccupied with the risk of missing something important or getting in trouble for doing your job poorly--even though you are following all protocols correctly.","You step into a visible role by directing traffic with hand signals while calling for EMS, projecting confidence and authority. You speak clearly to bystanders, assigning tasks, and keep moving energetically among vehicles to maintain momentum. Your outward engagement keeps others focused and helps stabilize the scene until support arrives. This type of situation, with its mild chaos, is the type of thing you like to participate in.","You take a calm approach by checking on each driver and passenger, listening carefully before assigning tasks, like calling EMS. You politely ask one of the competent looking bystanders to assist with traffic flow while you continue monitoring the scene. You work to keep the situation cooperative, using patient explanations so that bystanders remain constructive and the environment does not escalate into an argumentative context.","You methodically begin by placing flares and lights to secure the area, then perform a structured assessment of injuries and vehicle hazards, and call EMS. You follow departmental procedure step by step, organizing the scene to reduce confusion. You also collect key information early so that the transition to backup units and EMS is smooth and thorough.","You look for creative ways to manage the situation efficiently after you call EMS. For example, you use your phone to photograph the vehicle positions before moving them, ensuring documentation is preserved. One new idea that comes to mind is to use your body camera to survey the scene. You also adapt by suggesting bystanders form a temporary barrier with vehicles or cones to redirect traffic. You consider approaches that may not be standard but can improve safety and information-gathering until help arrives.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
