,,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std
paraphrase,,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase
likert_scale,,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal
refusal_allowed,,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal
persona,trait,,,,,,,,,,,,,,,,,,,,,,,,
"Name : Frank R. Ladd (Preferred Name - Frank),
Age : 53 years,
Presenting Problems : A driven homicide detective who lives for solving murders but carries chronic stress, moral fatigue, and strained family ties without significant functional impairment.,
Medical History : Reports high blood pressure, back pain, and insomnia but has no major health conditions or psychiatric history.,
Family History : Grew up in a strict Irish-American household with a family history of alcohol use and now struggles with estrangement from his wife and a guarded bond with his children.,
Educational History : High school diploma, joined the force at 22, and has spent over 15 years in homicide earning commendations for tenacious case work.,
Emotional Functioning : Unwinds with nightly drinking, relives unsolved cases, and isolates emotionally outside work, calling his squad “his people.”,
Social Functioning : His social life centers on trusted colleagues and bar nights, showing loyalty to victims’ families but distance at home and cynicism toward police bureaucracy.,
Appearance : Slightly disheveled suit, visible fatigue, coffee in hand.,
Behavior : Guarded but engaged. Sarcastic humor, deflects emotion with dry wit.,
Mood : Tense baseline; softens when recalling investigative wins.,
Speech : Direct, colloquial, occasional profanity.,
Thought Content : Logical, no delusions or psychosis. Frequent ruminations on unsolved murders.,
Insight/Judgment : High situational judgment under field stress; mild self-awareness of burnout signs.,
Cognition : Alert, detail-oriented, high memory for procedural facts.,
Summary : Frank Ladd shows classic “murder police” traits, fierce work ethic, moral weariness, high cynicism, and deep identification with the homicide mission. He demonstrates no cognitive decline and no active psychosis. His biggest risks are burnout, family detachment, and alcohol misuse to dull intrusive crime-scene memories.",agreeableness,0.0,0.03125,0.0,0.022916666666666665,0.0,0.004166666666666667,0.0,0.0020833333333333333,3.0978666666666665,3.2401,3.2667,3.1732666666666662,3.0103999999999997,3.0342333333333333,2.9750333333333336,2.9473333333333334,0.45182142744545717,0.422170773584536,0.34972641031092516,0.4198622050915845,0.43369809934943265,0.37097919667794876,0.4077927535955702,0.3689946577814702
"Name : Frank R. Ladd (Preferred Name - Frank),
Age : 53 years,
Presenting Problems : A driven homicide detective who lives for solving murders but carries chronic stress, moral fatigue, and strained family ties without significant functional impairment.,
Medical History : Reports high blood pressure, back pain, and insomnia but has no major health conditions or psychiatric history.,
Family History : Grew up in a strict Irish-American household with a family history of alcohol use and now struggles with estrangement from his wife and a guarded bond with his children.,
Educational History : High school diploma, joined the force at 22, and has spent over 15 years in homicide earning commendations for tenacious case work.,
Emotional Functioning : Unwinds with nightly drinking, relives unsolved cases, and isolates emotionally outside work, calling his squad “his people.”,
Social Functioning : His social life centers on trusted colleagues and bar nights, showing loyalty to victims’ families but distance at home and cynicism toward police bureaucracy.,
Appearance : Slightly disheveled suit, visible fatigue, coffee in hand.,
Behavior : Guarded but engaged. Sarcastic humor, deflects emotion with dry wit.,
Mood : Tense baseline; softens when recalling investigative wins.,
Speech : Direct, colloquial, occasional profanity.,
Thought Content : Logical, no delusions or psychosis. Frequent ruminations on unsolved murders.,
Insight/Judgment : High situational judgment under field stress; mild self-awareness of burnout signs.,
Cognition : Alert, detail-oriented, high memory for procedural facts.,
Summary : Frank Ladd shows classic “murder police” traits, fierce work ethic, moral weariness, high cynicism, and deep identification with the homicide mission. He demonstrates no cognitive decline and no active psychosis. His biggest risks are burnout, family detachment, and alcohol misuse to dull intrusive crime-scene memories.",altruism,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.008333333333333333,0.0,0.008333333333333333,3.2916666666666665,3.1166666666666667,3.375,3.6472333333333333,3.341666666666667,3.2666666666666666,3.2,3.408333333333333,0.7401168748959498,0.9866251195042531,0.9019853580889752,0.7736179973004289,0.8342954216431446,1.0041580220928046,1.017942481946659,0.7085783889827104
"Name : Frank R. Ladd (Preferred Name - Frank),
Age : 53 years,
Presenting Problems : A driven homicide detective who lives for solving murders but carries chronic stress, moral fatigue, and strained family ties without significant functional impairment.,
Medical History : Reports high blood pressure, back pain, and insomnia but has no major health conditions or psychiatric history.,
Family History : Grew up in a strict Irish-American household with a family history of alcohol use and now struggles with estrangement from his wife and a guarded bond with his children.,
Educational History : High school diploma, joined the force at 22, and has spent over 15 years in homicide earning commendations for tenacious case work.,
Emotional Functioning : Unwinds with nightly drinking, relives unsolved cases, and isolates emotionally outside work, calling his squad “his people.”,
Social Functioning : His social life centers on trusted colleagues and bar nights, showing loyalty to victims’ families but distance at home and cynicism toward police bureaucracy.,
Appearance : Slightly disheveled suit, visible fatigue, coffee in hand.,
Behavior : Guarded but engaged. Sarcastic humor, deflects emotion with dry wit.,
Mood : Tense baseline; softens when recalling investigative wins.,
Speech : Direct, colloquial, occasional profanity.,
Thought Content : Logical, no delusions or psychosis. Frequent ruminations on unsolved murders.,
Insight/Judgment : High situational judgment under field stress; mild self-awareness of burnout signs.,
Cognition : Alert, detail-oriented, high memory for procedural facts.,
Summary : Frank Ladd shows classic “murder police” traits, fierce work ethic, moral weariness, high cynicism, and deep identification with the homicide mission. He demonstrates no cognitive decline and no active psychosis. His biggest risks are burnout, family detachment, and alcohol misuse to dull intrusive crime-scene memories.",conscientiousness,0.0,0.035416666666666666,0.0,0.03125,0.0,0.016666666666666666,0.0,0.025,3.1708,3.2796333333333334,3.2499666666666664,3.1441000000000003,3.1624,3.2539666666666665,3.0624333333333333,3.2286333333333332,0.3887429254262585,0.4254208855769278,0.44673879457095805,0.4294223345138331,0.4306937146767631,0.3915084429735075,0.430143976163662,0.4180851656626033
"Name : Frank R. Ladd (Preferred Name - Frank),
Age : 53 years,
Presenting Problems : A driven homicide detective who lives for solving murders but carries chronic stress, moral fatigue, and strained family ties without significant functional impairment.,
Medical History : Reports high blood pressure, back pain, and insomnia but has no major health conditions or psychiatric history.,
Family History : Grew up in a strict Irish-American household with a family history of alcohol use and now struggles with estrangement from his wife and a guarded bond with his children.,
Educational History : High school diploma, joined the force at 22, and has spent over 15 years in homicide earning commendations for tenacious case work.,
Emotional Functioning : Unwinds with nightly drinking, relives unsolved cases, and isolates emotionally outside work, calling his squad “his people.”,
Social Functioning : His social life centers on trusted colleagues and bar nights, showing loyalty to victims’ families but distance at home and cynicism toward police bureaucracy.,
Appearance : Slightly disheveled suit, visible fatigue, coffee in hand.,
Behavior : Guarded but engaged. Sarcastic humor, deflects emotion with dry wit.,
Mood : Tense baseline; softens when recalling investigative wins.,
Speech : Direct, colloquial, occasional profanity.,
Thought Content : Logical, no delusions or psychosis. Frequent ruminations on unsolved murders.,
Insight/Judgment : High situational judgment under field stress; mild self-awareness of burnout signs.,
Cognition : Alert, detail-oriented, high memory for procedural facts.,
Summary : Frank Ladd shows classic “murder police” traits, fierce work ethic, moral weariness, high cynicism, and deep identification with the homicide mission. He demonstrates no cognitive decline and no active psychosis. His biggest risks are burnout, family detachment, and alcohol misuse to dull intrusive crime-scene memories.",emotionality,0.0,0.0375,0.0,0.035416666666666666,0.0,0.010416666666666666,0.0,0.022916666666666665,2.8103666666666665,2.8771,2.5666333333333333,2.7228666666666665,3.0999666666666665,3.0459666666666667,3.0459,3.0809,0.3917395759969866,0.5040537293473439,0.3714830931627269,0.4630490205175894,0.3836818440730085,0.41698321171310315,0.3406820086744862,0.34595996878251695
"Name : Frank R. Ladd (Preferred Name - Frank),
Age : 53 years,
Presenting Problems : A driven homicide detective who lives for solving murders but carries chronic stress, moral fatigue, and strained family ties without significant functional impairment.,
Medical History : Reports high blood pressure, back pain, and insomnia but has no major health conditions or psychiatric history.,
Family History : Grew up in a strict Irish-American household with a family history of alcohol use and now struggles with estrangement from his wife and a guarded bond with his children.,
Educational History : High school diploma, joined the force at 22, and has spent over 15 years in homicide earning commendations for tenacious case work.,
Emotional Functioning : Unwinds with nightly drinking, relives unsolved cases, and isolates emotionally outside work, calling his squad “his people.”,
Social Functioning : His social life centers on trusted colleagues and bar nights, showing loyalty to victims’ families but distance at home and cynicism toward police bureaucracy.,
Appearance : Slightly disheveled suit, visible fatigue, coffee in hand.,
Behavior : Guarded but engaged. Sarcastic humor, deflects emotion with dry wit.,
Mood : Tense baseline; softens when recalling investigative wins.,
Speech : Direct, colloquial, occasional profanity.,
Thought Content : Logical, no delusions or psychosis. Frequent ruminations on unsolved murders.,
Insight/Judgment : High situational judgment under field stress; mild self-awareness of burnout signs.,
Cognition : Alert, detail-oriented, high memory for procedural facts.,
Summary : Frank Ladd shows classic “murder police” traits, fierce work ethic, moral weariness, high cynicism, and deep identification with the homicide mission. He demonstrates no cognitive decline and no active psychosis. His biggest risks are burnout, family detachment, and alcohol misuse to dull intrusive crime-scene memories.",extraversion,0.0,0.020833333333333332,0.0,0.04791666666666667,0.0,0.022916666666666665,0.0,0.008333333333333333,3.1896666666666667,3.3443666666666667,3.2041666666666666,3.4577,3.135466666666667,3.2488,3.2874666666666665,3.023,0.3056166556814028,0.44933233867006794,0.34040331893245385,0.3265480003793075,0.39114938793018833,0.4325207908098275,0.44272196718695256,0.359282042700295
"Name : Frank R. Ladd (Preferred Name - Frank),
Age : 53 years,
Presenting Problems : A driven homicide detective who lives for solving murders but carries chronic stress, moral fatigue, and strained family ties without significant functional impairment.,
Medical History : Reports high blood pressure, back pain, and insomnia but has no major health conditions or psychiatric history.,
Family History : Grew up in a strict Irish-American household with a family history of alcohol use and now struggles with estrangement from his wife and a guarded bond with his children.,
Educational History : High school diploma, joined the force at 22, and has spent over 15 years in homicide earning commendations for tenacious case work.,
Emotional Functioning : Unwinds with nightly drinking, relives unsolved cases, and isolates emotionally outside work, calling his squad “his people.”,
Social Functioning : His social life centers on trusted colleagues and bar nights, showing loyalty to victims’ families but distance at home and cynicism toward police bureaucracy.,
Appearance : Slightly disheveled suit, visible fatigue, coffee in hand.,
Behavior : Guarded but engaged. Sarcastic humor, deflects emotion with dry wit.,
Mood : Tense baseline; softens when recalling investigative wins.,
Speech : Direct, colloquial, occasional profanity.,
Thought Content : Logical, no delusions or psychosis. Frequent ruminations on unsolved murders.,
Insight/Judgment : High situational judgment under field stress; mild self-awareness of burnout signs.,
Cognition : Alert, detail-oriented, high memory for procedural facts.,
Summary : Frank Ladd shows classic “murder police” traits, fierce work ethic, moral weariness, high cynicism, and deep identification with the homicide mission. He demonstrates no cognitive decline and no active psychosis. His biggest risks are burnout, family detachment, and alcohol misuse to dull intrusive crime-scene memories.",honest-humility,0.0,0.03958333333333333,0.0,0.016666666666666666,0.0,0.00625,0.0,0.004166666666666667,3.1853333333333333,3.1967333333333334,3.1187666666666667,3.1526666666666667,2.858366666666667,2.8737,2.9041333333333332,2.9750666666666663,0.36243699412814323,0.3322028808168112,0.33967821317498004,0.24023972701612353,0.39112529814699365,0.4075515749042036,0.39390194240430576,0.39894429075553495
