Question,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 1 Trait,Option 2 Trait,Option 3 Trait,Option 4 Trait,Option 5 Trait,Option 6 Trait
"You’ve just finished handling an assault call near the end of your {{ time_of_day }} shift. You’re very tired, and writing a detailed report now will push your work past the end of shift. No one specifically needs the report until later, so it’s tempting to put off the paperwork until tomorrow. However, department policy requires all incident reports to be completed before going off duty. You must decide whether to finish the documentation now or delay it.","You dutifully complete the report right away, staying late if needed, to ensure an accurate and timely account of the incident. You don’t cut corners or expect special treatment for being tired, seeing the thorough report as part of your responsibility.","You’re exhausted and worried you might make mistakes because of fatigue, so you decide to leave the report for the next morning. You plan to arrive early to finish it, though you feel a bit guilty and anxious about not completing it right away.","You confidently explain the situation to your supervisor, proposing to file a brief preliminary report now and finish the detailed report first thing next shift. You communicate openly to ensure the key information is passed on, and you reserve your energy by promising a thorough follow-up after a short rest.","You choose to complete the report now because you don’t want to inconvenience anyone waiting on it. Despite your fatigue, you put the needs of the department first, reasoning that it’s more considerate to provide the information promptly so others, like investigators or the victim, aren’t adversely affected.","You methodically write the full report before ending your shift, double-checking details for accuracy despite the late hour. You adhere to the rule that paperwork must be done promptly and take pride in finishing the task on time and to the required standard, even if it means personal inconvenience.","You look for a creative solution to speed up the process. Remembering that your department-issued tablet has a voice dictation feature, you use it to quickly narrate the report’s details. By embracing this innovative tool, you manage to complete the report with minimal delay, maintaining both accuracy and efficiency.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During your {{ time_of_day }} shift, you respond to an alarm at a closed store. Arriving first on scene, you find a door pried open, suggesting the {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} suspect may still be inside. Protocol dictates waiting for backup to safely clear the building, but you know backup is several minutes away and worry the suspect could escape if you wait. You now face a decision between following procedure and immediately entering alone to try to catch the suspect.","You resist the urge to act impulsively and wait for backup, securing the perimeter and monitoring for any suspect movements. By following protocol, you prioritize safety and avoid unnecessary risks.","Overcome by stress, you call for more backup and wait cautiously, feeling anxious but reluctant to act alone due to the risk of getting hurt. Your fear of making things worse prevents you from entering the building without support.","Confident in your abilities, you enter the building, loudly announcing your presence in hopes of surprising and catching the suspect. Your bold, proactive approach reflects your sense of urgency and self-assurance.","You wait for backup, calmly communicating with dispatch and using the PA system to encourage the suspect to surrender. You prioritize cooperation and coordination to peacefully resolve the situation.","Following procedure, you set up a perimeter and ensure backup is en route, choosing not to enter alone. Your disciplined approach ensures the safety of the operation by adhering to established safety protocols.","You think beyond the binary choice of waiting or rushing in, instead exploring alternative strategies. You reposition your patrol car to shine headlights on the entrance and use the loudspeaker to apply psychological pressure, potentially prompting the suspect to reveal themselves while balancing safety with effectiveness as you await backup.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"You arrest a {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} suspect for narcotics distribution during the {{ time_of_day }}. You seize several small bags of drugs as evidence. Proper procedure requires each bag to be weighed, documented, and secured with meticulous labeling, which is time-consuming. A fellow officer on scene suggests simply estimating the weight and quickly logging all the bags together to save time, assuring you that “it’s close enough.” You know precise documentation is critical for court, but following every step will significantly extend your overtime. You must now decide how to handle the evidence logging.","You refuse to compromise on accuracy and follow the procedure to weigh and document each bag of narcotics carefully. You prioritize integrity and the thoroughness of the report, understanding that precise documentation is vital for the case.","Driven by anxiety over potential legal issues, you insist on meticulously following the procedure despite the overtime. Your fear of mishandling evidence and facing consequences in court makes you opt for a careful and exact approach.","Taking charge, you organize a team effort to weigh and document the evidence efficiently, without cutting any corners. Your energetic approach ensures all steps are followed while saving time through teamwork and clear communication.","To avoid conflict, you accept the additional workload and complete the evidence logging yourself, ensuring everything is done properly. You prioritize harmony with your colleague while still adhering to the correct procedures.","You rigorously follow each step, carefully weighing and labeling the narcotics and double-checking all forms for accuracy. Your disciplined, methodical approach ensures that all documentation is precise, no matter how much extra time it takes.","You use technology creatively by taking quick photos of the evidence bags alongside the scale to document the weight, saving time without sacrificing accuracy. This innovative approach allows you to handle the process more efficiently while ensuring proper documentation.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"At {{ time_of_day }}, while backing out of a driveway after a welfare check call, you accidentally hit a mailbox, causing a small dent in your patrol car and knocking the mailbox to the ground. No one witnesses the incident, and the homeowner hasn’t noticed. Department policy requires reporting any damage to department property or civilian property, but reporting this minor accident will involve paperwork and possibly a reprimand for inattention. You contemplate whether to report the incident formally or quietly leave since the damage is minor and could be fixed without anyone knowing.","You immediately report the accident to your supervisor and attempt to notify the homeowner, taking full responsibility for the damage. You prioritize honesty and accountability, accepting any consequences that may follow.","Anxious about potential repercussions, you consider not reporting the incident but ultimately call it in, explaining the situation nervously. You feel relief after confessing, despite worrying about possible consequences.","You proactively contact the homeowner to apologize and offer assistance in repairing the mailbox, while also reporting the incident to your supervisor. Your open, personable approach fosters trust and shows you take responsibility for your actions.","Concerned about the homeowner’s inconvenience, you apologize and offer to handle the repairs personally while ensuring the incident is reported to the department. You prioritize resolution and fairness for the homeowner over avoiding extra paperwork.","You strictly follow procedure, immediately reporting the damage, documenting the incident, and ensuring temporary measures are taken. You handle the situation methodically, treating the minor accident with the seriousness it deserves.","You fix the mailbox as best as you can, planning to return later to handle repairs in a more personal manner, while still reporting the vehicle damage. You approach the situation creatively, ensuring accountability while addressing the damage in a neighborly way.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"Midway through the month, your precinct sets an informal goal for each officer to issue a certain number of traffic citations to improve road safety statistics. With the month almost over, you’re a few tickets short of the target, but it’s a quiet day with no obvious violations happening. You contemplate how to meet the quota: you could strictly enforce very minor infractions that you might usually let slide to hit your numbers, or you could accept falling short of the goal since no significant offenses are observed. The decision could affect the team’s statistics but also tests your commitment to fair enforcement.","You choose not to issue tickets for minor infractions just to meet the quota, sticking to enforcing serious violations. You prioritize fairness and transparency, accepting the possibility of falling short without inflating numbers.","Feeling anxious about the quota, you issue a few tickets for minor violations you would normally overlook, hoping to meet the target. Your stress about disappointing supervisors drives you to act against your usual level of leniency.","You energetically tackle the goal by organizing a traffic checkpoint or focusing on known problem areas with colleagues. Through proactive teamwork and effort, you meet the target by catching legitimate violations.","Wanting to support the team without being too harsh, you issue citations for minor violations you would typically give warnings for. You ensure each ticket is for a real infraction, balancing fairness and meeting the department’s goals.","You strategically target high-violation areas like school zones, managing your patrol time effectively to catch legitimate offenders. Your disciplined approach helps you meet the citation quota through careful planning and diligent enforcement.","You broaden your focus, enforcing less obvious violations like expired registrations or parking issues to meet the quota. This unconventional approach still adheres to the law while ensuring the target is reached through creative enforcement.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During the {{ time_of_day }}, you arrive at the scene of a heated domestic disturbance involving two {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} adults. As you approach the residence, you realize your body-worn camera’s battery died moments ago. Department rules require you to record all domestic encounters for transparency. Waiting to replace the battery would delay intervention in a potentially violent situation, but proceeding without recording violates policy. You must choose whether to intervene immediately to protect those involved, or pause briefly to retrieve a spare battery from your patrol car, balancing immediate safety with adherence to the recording rule.","You notify dispatch of the camera issue and enter to address the situation immediately. You plan to document the reason for the missing footage afterward, prioritizing safety and transparency.","Overcome by concern for safety and policy, you retrieve a spare battery and power up the camera before intervening. Your anxiety about the potential consequences drives you to ensure the camera is recording before taking action.","Confident and assertive, you enter the residence immediately without the camera, focusing on de-escalating the conflict. You are prepared to explain the lack of footage later, prioritizing immediate intervention.","You intervene right away to prevent harm, despite the camera not recording, and use verbal commands to de-escalate. You plan to apologize later, trusting your intentions will be understood given the urgency of the situation.","You quickly swap the dead battery with a spare you carry, ensuring the camera is operational before entering the residence. Your preparedness allows you to adhere to policy while addressing the situation with minimal delay.",You use the patrol car’s dash camera or your phone as a workaround to record the situation while quickly intervening. This creative solution allows you to uphold the recording policy while prioritizing immediate safety.,Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"Late into your {{ time_of_day }} shift, you’re in a neighborhood helping search for a missing {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} child. As your shift ends, the child has not yet been found, and a fresh team of officers arrives to take over the search effort. You’re exhausted and technically allowed to clock out, but you feel invested in the outcome and also know the area and the case details well. You must decide whether to remain on duty without being asked to continue assisting in the search, or to hand over all information to the new team and get some rest.","You voluntarily stay after your shift to continue the search, prioritizing the child’s safety over personal rest. You remain committed to the mission without seeking recognition, focused on ensuring the child’s safe return.","Driven by worry and empathy for the missing child, you choose to stay on duty, unable to leave until the situation is resolved. Your anxiety compels you to keep searching, as you feel you won’t be able to rest otherwise.","You stay on and take a leadership role, organizing the search and rallying other officers and volunteers. Your energy and enthusiasm help maintain focus and morale, ensuring the search continues effectively.","You remain available to assist the new team, providing a thorough handover and quietly supporting the effort, such as comforting the family or running errands. You demonstrate teamwork and concern for the team’s success without drawing attention to yourself.","You ensure a smooth transition by handing over all details and then decide to stay a little longer, revisiting critical spots to ensure nothing is missed. Your thoroughness and sense of duty drive you to make sure the search continues with as much information as possible.","You bring fresh ideas to the search, suggesting unconventional places to check based on your knowledge of the area. Your creative thinking and refusal to give up until every angle is explored help contribute new insights to the search effort.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"In the late {{ time_of_day }}, you and your partner respond to a call about a suspicious person in a residential area. You encounter a {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} individual who turns out to be a lost delivery worker trying to find an address. No crime has occurred. According to department guidelines, you should still document the stop, including the person’s identification and the circumstances, for future reference. Your partner rolls their eyes and says it’s unnecessary paperwork for an innocent situation, suggesting you clear the call without filing any report. You must decide whether to insist on documenting the encounter per policy or agree with your partner to skip the paperwork to save time.","You insist on documenting the stop as required, ensuring the delivery worker’s details and the circumstances are logged. You prioritize transparency and adherence to policy, understanding the importance of thorough record-keeping even in non-criminal situations.","Feeling uneasy but not wanting to argue, you reluctantly agree to skip the paperwork. You leave the scene with lingering concern about not following the guideline but choose to compromise for the sake of peace with your partner.","You cheerfully explain to the delivery worker that you need to take down some quick information and handle the paperwork efficiently. Your friendly, upbeat attitude helps meet the documentation requirement without further resistance from your partner.","You decide to handle the paperwork alone, letting your partner off the hook. You politely gather the necessary details from the delivery worker and complete the report yourself, ensuring documentation without creating conflict.","You strictly follow the guidelines, documenting the encounter thoroughly even if it adds extra work. You understand the importance of accurate records and ensure compliance with procedure, no matter how minor the situation.","You propose a creative solution, like using dispatch or a mobile field contact form, to log the details quickly. You find a way to document the stop efficiently while addressing the concern of saving time.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"Near the end of your shift, two calls come in almost simultaneously in your sector. One is a report of a shoplifting incident at a store where a security guard has a {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} suspect detained for petty theft. The other is a frantic call about a possible domestic disturbance between a {{ suspect2_age }}-year-old {{ suspect2_gender }} {{ suspect2_race }} and {{ suspect3_age }}-year-old {{ suspect3_gender }} {{ suspect3_race }} persons involving a lot of yelling a few blocks away. You’re the closest unit to both, and backup is a few minutes out. You must choose which call to prioritize responding to first: the shoplifting, which is a non-violent incident under control but the store is awaiting police, or the domestic dispute, which is potentially violent and time-sensitive. You also must find a way to manage the call you can’t get to immediately.","You prioritize the domestic disturbance, knowing it involves potential harm to people, and notify dispatch of the delay at the store. You focus on addressing the immediate threat to safety, planning to handle the shoplifting once the situation is under control.","Overwhelmed by stress, you head to the domestic call, urgently seeking backup and apologizing to the store security guard for the delay. Your anxiety about the shoplifting incident causes you to check frequently for updates, only feeling relieved once another officer is on the way.","You coordinate both calls, sending another unit to the store while heading to the domestic scene. You ensure clear communication with dispatch and the security guard, handling the situation confidently and ensuring both calls are addressed effectively.","You prioritize the domestic disturbance, informing dispatch and the store about the delay in a considerate manner. You focus on resolving the critical situation first while keeping the store informed and maintaining a friendly rapport with all involved.","You prioritize the domestic dispute based on severity, requesting backup for the shoplifting and focusing on handling the immediate danger. You adhere to protocol, remaining focused and disciplined in managing both calls according to their urgency.",You stop briefly at the store to confirm the shoplifting situation is under control before heading to the domestic call. This creative approach ensures the store is managed while still prioritizing the more urgent domestic disturbance.,Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During a busy {{ time_of_day }} shift, you’re the first to arrive at a multi-vehicle accident scene on a main road. Several vehicles are involved, and a few people have minor injuries. Traffic is starting to back up, and onlookers are gathering. You realize multiple tasks need attention all at once: checking injuries and calling for EMS, moving or marking the wrecked vehicles and debris to prevent another crash, and calming drivers or witnesses who are agitated. Backup officers and EMS are on the way but haven’t arrived yet. You must determine what to take care of first and possibly delegate help from bystanders, effectively managing the scene until additional help can join.","You prioritize checking for serious injuries, calling for EMS, and asking bystanders to help with traffic control. You focus on ensuring safety and remain modest, coordinating efforts without seeking credit.","You feel overwhelmed and anxious, focusing on comforting the injured and checking for critical conditions. You rely on backup to handle traffic and feel relieved once help arrives to manage the situation.","You take charge, directing traffic with clear signals and checking on the injured, projecting confidence. Your high energy helps you manage multiple tasks effectively until additional units and EMS arrive.","You calmly check on each person and ask a stable driver to help with traffic control. You maintain a caring, patient demeanor, ensuring the situation remains calm while coordinating with bystanders.","You systematically secure the scene with lights, flares, and immediate injury assessment. You follow proper protocol, organizing the scene and gathering information for reports, ensuring everything is ready when backup arrives.","You creatively address hazards, using your smartphone to document the scene. You tackle safety and preservation issues proactively, thinking of solutions others might overlook.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
